Magadino-Cadenazzo
Messstation Nr.:  11
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 05 00 30    323.00      0.60
2022 01 05 00 40    317.00      0.70
2022 01 05 00 50    339.00      1.00
2022 01 05 01 00    319.00      0.20
2022 01 05 01 10    192.00      0.70
2022 01 05 01 20    190.00      0.40
2022 01 05 01 30    197.00      0.40
2022 01 05 01 40    197.00      0.10
2022 01 05 01 50      0.00      0.00
2022 01 05 02 00    197.00      0.10
2022 01 05 02 10    197.00      0.20
2022 01 05 02 20    114.00      0.40
2022 01 05 02 30     26.00      0.70
2022 01 05 02 40    335.00      0.80
2022 01 05 02 50    296.00      0.30
2022 01 05 03 00    211.00      0.60
2022 01 05 03 10    197.00      0.10
2022 01 05 03 20    197.00      0.10
2022 01 05 03 30    215.00      0.50
2022 01 05 03 40    193.00      0.20
2022 01 05 03 50     97.00      0.20
2022 01 05 04 00     87.00      0.40
2022 01 05 04 10     75.00      0.40
2022 01 05 04 20     77.00      0.10
2022 01 05 04 30    197.00      0.40
2022 01 05 04 40    186.00      0.50
2022 01 05 04 50    176.00      0.20
2022 01 05 05 00    163.00      0.30
2022 01 05 05 10     91.00      0.30
2022 01 05 05 20     65.00      0.80
2022 01 05 05 30     57.00      0.50
2022 01 05 05 40    115.00      0.50
2022 01 05 05 50    137.00      0.40
2022 01 05 06 00     90.00      1.50
2022 01 05 06 10     69.00      3.10
2022 01 05 06 20     95.00      3.20
2022 01 05 06 30     79.00      2.50
2022 01 05 06 40     84.00      2.60
2022 01 05 06 50    103.00      2.70
2022 01 05 07 00    132.00      3.30
2022 01 05 07 10    118.00      3.80
2022 01 05 07 20    100.00      2.20
2022 01 05 07 30    328.00      1.10
2022 01 05 07 40    274.00      1.30
2022 01 05 07 50    286.00      0.40
2022 01 05 08 00     71.00      0.30
2022 01 05 08 10      9.00      1.10
2022 01 05 08 20     73.00      1.10
2022 01 05 08 30    117.00      2.70
2022 01 05 08 40    117.00      2.60
2022 01 05 08 50     96.00      1.60
2022 01 05 09 00     66.00      1.00
2022 01 05 09 10     65.00      1.70
2022 01 05 09 20     73.00      1.30
2022 01 05 09 30     69.00      1.40
2022 01 05 09 40     39.00      1.00
2022 01 05 09 50     75.00      1.80
2022 01 05 10 00     72.00      1.70
2022 01 05 10 10     83.00      1.60
2022 01 05 10 20     96.00      2.40
2022 01 05 10 30     96.00      2.20
