Lausanne-César-Roux
Messstation Nr.:   9
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 04 20 30    273.19      4.53
2022 01 04 20 40    274.88      4.24
2022 01 04 20 50    278.06      5.10
2022 01 04 21 00    274.77      4.25
2022 01 04 21 10    273.72      3.18
2022 01 04 21 20    275.79      4.75
2022 01 04 21 30    275.43      4.39
2022 01 04 21 40    271.52      4.23
2022 01 04 21 50    273.76      3.89
2022 01 04 22 00    273.85      3.90
2022 01 04 22 10    277.14      3.79
2022 01 04 22 20    275.77      4.97
2022 01 04 22 30    276.14      4.64
2022 01 04 22 40    276.41      4.49
2022 01 04 22 50    293.60      3.12
2022 01 04 23 00    308.58      3.19
2022 01 04 23 10    331.03      3.55
2022 01 04 23 20    333.24      2.93
2022 01 04 23 30    333.65      3.46
2022 01 04 23 40    331.60      3.88
2022 01 04 23 50    328.33      3.15
2022 01 04 24 00    326.52      2.46
2022 01 05 00 10    330.79      2.88
2022 01 05 00 20    331.07      3.47
2022 01 05 00 30    331.29      2.85
2022 01 05 00 40    330.43      2.42
2022 01 05 00 50    329.11      1.94
2022 01 05 01 00    337.73      1.53
2022 01 05 01 10    332.61      1.18
2022 01 05 01 20    265.95      1.36
2022 01 05 01 30    215.93      1.12
2022 01 05 01 40    137.36      0.73
2022 01 05 01 50    167.01      0.99
2022 01 05 02 00    251.61      1.10
2022 01 05 02 10    171.80      1.00
2022 01 05 02 20    111.27      0.95
2022 01 05 02 30    109.69      0.95
2022 01 05 02 40    110.64      1.03
2022 01 05 02 50     96.89      0.82
2022 01 05 03 00    165.78      0.95
2022 01 05 03 10    135.69      1.40
2022 01 05 03 20    190.71      1.28
2022 01 05 03 30    221.25      1.66
2022 01 05 03 40    237.12      1.37
2022 01 05 03 50    232.93      1.61
2022 01 05 04 00    249.46      1.45
2022 01 05 04 10    225.83      1.23
2022 01 05 04 20    154.24      0.84
2022 01 05 04 30    159.87      0.72
2022 01 05 04 40    220.78      1.11
2022 01 05 04 50    269.76      4.15
2022 01 05 05 00    275.25      4.48
2022 01 05 05 10    271.51      3.21
2022 01 05 05 20    275.87      2.81
2022 01 05 05 30    271.14      2.46
2022 01 05 05 40    277.14      2.74
2022 01 05 05 50    278.81      3.49
2022 01 05 06 00    280.65      2.87
2022 01 05 06 10    278.60      3.48
2022 01 05 06 20    278.65      3.88
2022 01 05 06 30    276.62      3.06
2022 01 05 06 40    279.02      2.83
2022 01 05 06 50    273.58      2.53
2022 01 05 07 00    291.50      2.02
2022 01 05 07 10    282.18      2.11
2022 01 05 07 20    287.03      2.14
2022 01 05 07 30    288.68      3.01
2022 01 05 07 40    292.00      3.14
2022 01 05 07 50    290.03      3.82
2022 01 05 08 00    278.30      3.24
2022 01 05 08 10    299.28      2.07
2022 01 05 08 20    280.37      3.01
2022 01 05 08 30    297.70      2.10
2022 01 05 08 40    285.54      2.14
2022 01 05 08 50    302.56      1.94
2022 01 05 09 00    305.79      1.16
2022 01 05 09 10    325.55      1.83
2022 01 05 09 20    325.03      2.29
2022 01 05 09 30    327.11      3.18
2022 01 05 09 40    319.46      3.35
2022 01 05 09 50    328.92      4.18
2022 01 05 10 00    326.88      4.61
2022 01 05 10 10    319.01      3.51
2022 01 05 10 20    317.98      4.00
2022 01 05 10 30    320.35      4.63
